№;Recipe ID;Название;Категория;Tier;Станция;Station tier;Время, с;Энергия;Runtime;Входы;Катализаторы;Выходы;Побочные продукты;Технология;Опасности
23;recipe.refining.argon_gas;Очищенный аргон;Refining;1;station.cryogenic_separator;3;9.2;88.0;0;2×Аргоновая полость;—;1×Очищенный аргон;—;tech.cryogenics;—
24;recipe.refining.lithium_concentrate;Литиевый концентрат;Refining;2;station.refinery;2;9.55;92.0;0;2×Литиевая соль;—;1×Литиевый концентрат;—;tech.advanced_refining;—
25;recipe.refining.sodium_concentrate;Натриевый концентрат;Refining;1;station.refinery;2;9.899999999999999;96.0;0;2×Натриевая соль;—;1×Натриевый концентрат;—;tech.basic_refining;—
26;recipe.refining.rare_earth_concentrate;Редкоземельный концентрат;Refining;2;station.refinery;2;10.25;100.0;0;2×Редкоземельная руда;—;1×Редкоземельный концентрат;—;tech.advanced_refining;—
27;recipe.refining.uranium_concentrate;Урановый концентрат;Refining;2;station.refinery;2;10.6;104.0;0;2×Урановая руда;—;1×Урановый концентрат;—;tech.nuclear_materials;—
28;recipe.refining.thorium_concentrate;Ториевый концентрат;Refining;2;station.refinery;2;10.95;108.0;0;2×Ториевая руда;—;1×Ториевый концентрат;—;tech.nuclear_materials;—
29;recipe.chemistry.paraffinium_fraction;Парафиниевая фракция;Chemistry;0;station.distillation_column;2;7.0;60.0;0;2×Парафиний;—;1×Парафиниевая фракция;1×Инертный остаток;tech.paraffinium_processing;—
30;recipe.chemistry.synthetic_wax;Синтетический воск;Chemistry;1;station.chemical_processor;1;7.45;72.0;0;2×Парафиниевая фракция;—;1×Синтетический воск;—;tech.paraffinium_processing;—
31;recipe.chemistry.paraffinium_lubricant;Парафиниевая смазка;Chemistry;1;station.chemical_processor;1;7.9;84.0;0;1×Парафиниевая фракция + 1×Очищенный феррит;—;1×Парафиниевая смазка;—;tech.industrial_chemistry;—
32;recipe.chemistry.polymer_resin;Полимерная смола;Chemistry;1;station.polymer_reactor;2;8.35;96.0;0;1×Парафиниевая фракция + 1×Биорастворитель;—;1×Полимерная смола;1×Инертный остаток;tech.polymer_science;flammable
33;recipe.chemistry.sealant_gel;Герметизирующий гель;Chemistry;1;station.polymer_reactor;2;8.8;108.0;0;1×Полимерная смола + 1×Биополимер;—;1×Герметизирующий гель;—;tech.polymer_science;—
34;recipe.chemistry.raw_compotium_solution;Раствор сырого Компотия;Chemistry;3;station.chemical_processor;1;9.25;120.0;0;1×Сырой Компотий + 1×Кислотный рассол;—;1×Раствор сырого Компотия;1×Токсичная суспензия;tech.compotium_analysis;toxic, unstable
35;recipe.chemistry.compotium_concentrate;Концентрат Компотия;Chemistry;3;station.distillation_column;2;9.7;132.0;0;2×Раствор сырого Компотия + 1×Очищенная вода;1×Каталитическая пыль (10%);1×Концентрат Компотия;1×Токсичная суспензия;tech.compotium_analysis;toxic, unstable
36;recipe.chemistry.purified_compotium;Очищенный Компотий;Chemistry;3;station.cryogenic_separator;3;10.15;144.0;0;2×Концентрат Компотия + 1×Очищенный аргон;1×Каталитическая пыль (5%);1×Очищенный Компотий;1×Отработанный катализатор;tech.compotium_analysis;unstable
37;recipe.chemistry.stabilized_compotium;Стабилизированный Компотий;Chemistry;3;station.compotium_stabilizer;4;10.6;156.0;0;1×Очищенный Компотий + 1×Парафиниевая фракция;1×Каталитическая пыль (10%);1×Стабилизированный Компотий;1×Инертный остаток;tech.compotium_stabilization;exotic_radiation
38;recipe.chemistry.compotium_catalyst;Компотиевый катализатор;Chemistry;3;station.catalytic_refinery;3;11.05;168.0;0;1×Стабилизированный Компотий + 2×Каталитическая пыль;—;1×Компотиевый катализатор;1×Отработанный катализатор;tech.compotium_stabilization;exotic_radiation
39;recipe.chemistry.compotium_electrolyte;Компотиевый электролит;Chemistry;4;station.electrolyzer;2;11.5;180.0;0;1×Стабилизированный Компотий + 1×Литиевый концентрат + 1×Очищенная вода;1×Компотиевый катализатор (2%);1×Компотиевый электролит;—;tech.compotium_energy;corrosive, exotic_radiation
40;recipe.chemistry.compotium_energy_cell;Компотиевый энергоэлемент;Chemistry;4;station.compotium_stabilizer;4;11.95;192.0;0;2×Компотиевый электролит + 1×Никелевый слиток;1×Компотиевый катализатор (5%);1×Компотиевый энергоэлемент;—;tech.compotium_energy;high_energy
41;recipe.chemistry.compotium_flux;Компотиевый флюс;Chemistry;3;station.catalytic_refinery;3;12.4;204.0;0;1×Очищенный Компотий + 1×Сернокислотный реагент;1×Компотиевый катализатор (2%);1×Компотиевый флюс;1×Инертный остаток;tech.compotium_stabilization;corrosive
42;recipe.chemistry.compotium_crystal;Компотиевый кристалл;Chemistry;4;station.exotic_research_fabricator;4;12.850000000000001;216.0;0;2×Стабилизированный Компотий + 1×Квантовая смола;1×Компотиевый катализатор (5%);1×Компотиевый кристалл;—;tech.exotic_materials;exotic_radiation
43;recipe.chemistry.compotium_alloy;Компотиевый сплав;Chemistry;4;station.catalytic_refinery;3;13.3;228.0;0;1×Стабилизированный Компотий + 1×Иридиевый конкрецион + 1×Титановый слиток;1×Компотиевый катализатор (3%);1×Компотиевый сплав;1×Металлический лом;tech.exotic_materials;high_temperature
44;recipe.chemistry.compotium_reactor_gel;Компотиевый реакторный гель;Chemistry;4;station.compotium_stabilizer;4;13.75;240.0;0;1×Компотиевый электролит + 1×Термогель + 1×Полимерная смола;1×Компотиевый катализатор (4%);1×Компотиевый реакторный гель;—;tech.compotium_energy;high_energy, exotic_radiation
45;recipe.chemistry.sulfuric_reagent;Сернокислотный реагент;Chemistry;1;station.chemical_processor;1;14.2;252.0;0;1×Серный кристалл + 1×Очищенная вода;—;1×Сернокислотный реагент;—;tech.basic_chemistry;corrosive
46;recipe.chemistry.alkaline_reagent;Щелочной реагент;Chemistry;1;station.chemical_processor;1;14.65;264.0;0;1×Натриевый концентрат + 1×Очищенная вода;—;1×Щелочной реагент;—;tech.basic_chemistry;corrosive
47;recipe.chemistry.industrial_solvent;Промышленный растворитель;Chemistry;1;station.distillation_column;2;15.1;276.0;0;1×Биорастворитель + 1×Метановая фракция;—;1×Промышленный растворитель;—;tech.industrial_chemistry;flammable
48;recipe.chemistry.cryogenic_coolant;Криогенный хладагент;Chemistry;2;station.cryogenic_separator;3;15.55;288.0;0;1×Очищенный аргон + 1×Термогель;—;1×Криогенный хладагент;—;tech.cryogenics;cryogenic
49;recipe.chemistry.dielectric_fluid;Диэлектрическая жидкость;Chemistry;2;station.chemical_processor;1;16.0;300.0;0;1×Парафиниевая фракция + 1×Очищенная вода;—;1×Диэлектрическая жидкость;—;tech.industrial_chemistry;—
50;recipe.chemistry.corrosion_inhibitor;Ингибитор коррозии;Chemistry;2;station.chemical_processor;1;16.450000000000003;312.0;0;1×Щелочной реагент + 1×Биополимер;—;1×Ингибитор коррозии;—;tech.industrial_chemistry;—
51;recipe.chemistry.oxygen_compound;Кислородное соединение;Chemistry;2;station.electrolyzer;2;16.9;324.0;0;1×Очищенная вода + 1×Натриевая соль;—;1×Кислородное соединение;—;tech.life_support;oxidizer
52;recipe.chemistry.rocket_oxidizer;Ракетный окислитель;Chemistry;2;station.chemical_processor;1;17.35;336.0;0;2×Кислородное соединение + 1×Сернокислотный реагент;—;1×Ракетный окислитель;—;tech.ship_systems;oxidizer
53;recipe.chemistry.high_energy_fuel;Высокоэнергетическое топливо;Chemistry;2;station.catalytic_refinery;3;17.8;348.0;0;2×Метановая фракция + 1×Ракетный окислитель;1×Каталитическая пыль (12%);1×Высокоэнергетическое топливо;1×Инертный остаток;tech.power_systems;flammable, explosive
54;recipe.chemistry.polymer_foam;Полимерная пена;Chemistry;2;station.polymer_reactor;2;18.25;360.0;0;1×Полимерная смола + 1×Очищенный аргон;—;1×Полимерная пена;—;tech.polymer_science;—
55;recipe.chemistry.bio_adhesive;Биоадгезив;Chemistry;1;station.polymer_reactor;2;18.700000000000003;372.0;0;2×Растительная пульпа + 1×Грибные споры + 1×Биорастворитель;—;1×Биоадгезив;1×Инертный остаток;tech.polymer_science;—
56;recipe.chemistry.ceramic_binder;Керамическое связующее;Chemistry;2;station.chemical_processor;1;19.15;384.0;0;1×Вулканическое стекло + 1×Натриевый концентрат + 1×Полимерная смола;—;1×Керамическое связующее;—;tech.industrial_chemistry;high_temperature
57;recipe.chemistry.conductive_paste;Проводящая паста;Chemistry;2;station.chemical_processor;1;19.6;396.0;0;1×Медный слиток + 1×Проводящий кристалл + 1×Промышленный растворитель;—;1×Проводящая паста;—;tech.electronics;toxic
58;recipe.chemistry.radiation_absorber;Поглотитель излучения;Chemistry;3;station.polymer_reactor;2;20.05;408.0;0;1×Биополимер + 1×Ториевый концентрат + 1×Полимерная смола;—;1×Поглотитель излучения;—;tech.nuclear_materials;radioactive
59;recipe.component.steel_plate;Стальная плита;IndustrialComponent;1;station.machine_shop;2;8.0;90.0;0;2×Очищенный феррит + 1×Никелевый слиток;—;1×Стальная плита;—;tech.metallurgy;—
60;recipe.component.copper_wire;Медный провод;IndustrialComponent;1;station.electronics_bench;2;8.55;98.0;0;1×Медный слиток;—;1×Медный провод;—;tech.electronics;—
61;recipe.component.titanium_frame;Титановая рама;IndustrialComponent;2;station.machine_shop;2;9.1;106.0;0;2×Титановый слиток;—;1×Титановая рама;—;tech.advanced_refining;—
62;recipe.component.aluminum_sheet;Алюминиевый лист;IndustrialComponent;1;station.machine_shop;2;9.65;114.0;0;2×Алюминиевый слиток;—;1×Алюминиевый лист;—;tech.metallurgy;—
63;recipe.component.cobalt_magnet;Кобальтовый магнит;IndustrialComponent;2;station.electronics_bench;2;10.2;122.0;0;1×Кобальтовый слиток + 1×Магнитная руда;—;1×Кобальтовый магнит;—;tech.electronics;—
64;recipe.component.nickel_mesh;Никелевая сетка;IndustrialComponent;1;station.machine_shop;2;10.75;130.0;0;2×Никелевый слиток;—;1×Никелевая сетка;—;tech.metallurgy;—
65;recipe.component.silicon_circuit;Кремниевая схема;IndustrialComponent;2;station.electronics_bench;2;11.3;138.0;0;1×Кремниевая пластина + 1×Медный провод + 1×Проводящая паста;—;1×Кремниевая схема;—;tech.electronics;—
66;recipe.component.carbon_composite;Углеродный композит;IndustrialComponent;2;station.polymer_reactor;2;11.850000000000001;146.0;0;2×Углеродное волокнистое сырьё + 1×Полимерная смола;—;1×Углеродный композит;—;tech.polymer_science;—
67;recipe.component.pressure_vessel;Сосуд высокого давления;IndustrialComponent;2;station.machine_shop;2;12.4;154.0;0;2×Стальная плита + 1×Титановая рама;—;1×Сосуд высокого давления;—;tech.advanced_refining;—
68;recipe.component.optical_glass;Оптическое стекло;IndustrialComponent;2;station.refinery;2;12.95;162.0;0;2×Вулканическое стекло + 1×Редкоземельный концентрат;—;1×Оптическое стекло;—;tech.sensor_systems;—
69;recipe.component.superconducting_coil;Сверхпроводящая катушка;IndustrialComponent;3;station.electronics_bench;2;13.5;170.0;0;2×Медный провод + 1×Редкоземельный концентрат + 1×Криогенный хладагент;—;1×Сверхпроводящая катушка;—;tech.power_systems;—
70;recipe.component.power_bus;Силовая шина;IndustrialComponent;2;station.electronics_bench;2;14.05;178.0;0;2×Медный провод + 1×Алюминиевый лист + 1×Диэлектрическая жидкость;—;1×Силовая шина;—;tech.power_systems;—
71;recipe.component.microprocessor;Микропроцессор;IndustrialComponent;3;station.electronics_bench;2;14.600000000000001;186.0;0;2×Кремниевая схема + 1×Редкоземельный концентрат;—;1×Микропроцессор;—;tech.sensor_systems;—
72;recipe.component.sensor_package;Сенсорный блок;IndustrialComponent;3;station.electronics_bench;2;15.15;194.0;0;1×Микропроцессор + 1×Оптическое стекло + 1×Кобальтовый магнит;—;1×Сенсорный блок;—;tech.sensor_systems;—
73;recipe.component.actuator;Сервопривод;IndustrialComponent;3;station.machine_shop;2;15.700000000000001;202.0;0;1×Стальная плита + 1×Медный провод + 1×Кремниевая схема;—;1×Сервопривод;—;tech.advanced_automation;—
74;recipe.component.hydraulic_pump;Гидравлический насос;IndustrialComponent;2;station.machine_shop;2;16.25;210.0;0;1×Стальная плита + 1×Сервопривод + 1×Парафиниевая смазка;—;1×Гидравлический насос;—;tech.vehicle_engineering;—
75;recipe.component.heat_exchanger;Теплообменник;IndustrialComponent;2;station.machine_shop;2;16.8;218.0;0;2×Медный провод + 2×Алюминиевый лист + 1×Криогенный хладагент;—;1×Теплообменник;—;tech.life_support;—
76;recipe.component.filtration_membrane;Фильтрационная мембрана;IndustrialComponent;2;station.polymer_reactor;2;17.35;226.0;0;1×Полимерная пена + 1×Никелевая сетка + 1×Аэрогелевая матрица;—;1×Фильтрационная мембрана;—;tech.life_support;—
77;recipe.component.radiation_shield_panel;Радиационно-защитная панель;IndustrialComponent;3;station.machine_shop;2;17.9;234.0;0;1×Стальная плита + 1×Поглотитель излучения;—;1×Радиационно-защитная панель;—;tech.nuclear_materials;—
78;recipe.component.structural_joint;Силовой узел;IndustrialComponent;2;station.machine_shop;2;18.450000000000003;242.0;0;1×Титановая рама + 1×Стальная плита + 1×Герметизирующий гель;—;1×Силовой узел;—;tech.base_construction;—
79;recipe.component.battery_module;Аккумуляторный модуль;IndustrialComponent;3;station.electronics_bench;2;19.0;250.0;0;2×Литиевый концентрат + 1×Силовая шина + 1×Диэлектрическая жидкость;—;1×Аккумуляторный модуль;—;tech.power_systems;—
80;recipe.component.control_unit;Блок управления;IndustrialComponent;3;station.electronics_bench;2;19.55;258.0;0;1×Микропроцессор + 1×Силовая шина + 1×Сенсорный блок;—;1×Блок управления;—;tech.advanced_automation;—
81;recipe.ship_module.impulse_manifold;Импульсный коллектор;ShipModule;2;station.shipyard_fabricator;3;15.0;180.0;0;1×Силовая шина + 1×Титановая рама + 1×Высокоэнергетическое топливо;—;1×Импульсный коллектор;—;tech.ship_systems;—
82;recipe.ship_module.maneuvering_thruster;Маневровый двигатель;ShipModule;2;station.shipyard_fabricator;3;15.8;198.0;0;1×Импульсный коллектор + 1×Сервопривод + 1×Ракетный окислитель;—;1×Маневровый двигатель;—;tech.ship_systems;—
83;recipe.ship_module.atmospheric_intake;Атмосферный воздухозаборник;ShipModule;2;station.shipyard_fabricator;3;16.6;216.0;0;2×Алюминиевый лист + 1×Фильтрационная мембрана;—;1×Атмосферный воздухозаборник;—;tech.life_support;—
84;recipe.ship_module.fusion_injector;Термоядерный инжектор;ShipModule;3;station.shipyard_fabricator;3;17.4;234.0;0;1×Сверхпроводящая катушка + 1×Сосуд высокого давления + 1×Урановый концентрат;—;1×Термоядерный инжектор;—;tech.fusion_systems;high_energy
85;recipe.ship_module.shield_emitter;Эмиттер щита;ShipModule;3;station.shipyard_fabricator;3;18.2;252.0;0;1×Сверхпроводящая катушка + 1×Блок управления + 1×Квантовая смола;—;1×Эмиттер щита;—;tech.power_systems;high_energy
86;recipe.ship_module.deflector_array;Дефлекторная решётка;ShipModule;3;station.shipyard_fabricator;3;19.0;270.0;0;1×Эмиттер щита + 1×Сенсорный блок + 1×Титановая рама;—;1×Дефлекторная решётка;—;tech.sensor_systems;high_energy
87;recipe.ship_module.hyperspace_core;Ядро гиперперехода;ShipModule;4;station.exotic_research_fabricator;4;19.8;288.0;0;2×Сверхпроводящая катушка + 1×Компотиевый кристалл + 1×Блок управления;—;1×Ядро гиперперехода;—;tech.hyperspace_theory;high_energy
88;recipe.ship_module.fuel_regulator;Топливный регулятор;ShipModule;2;station.shipyard_fabricator;3;20.6;306.0;0;1×Гидравлический насос + 1×Блок управления + 1×Ингибитор коррозии;—;1×Топливный регулятор;—;tech.ship_systems;—
89;recipe.ship_module.oxygen_recycler;Регенератор кислорода;ShipModule;2;station.shipyard_fabricator;3;21.4;324.0;0;2×Фильтрационная мембрана + 1×Блок управления + 2×Кислородное соединение;—;1×Регенератор кислорода;—;tech.life_support;—
90;recipe.ship_module.thermal_radiator;Тепловой радиатор;ShipModule;2;station.shipyard_fabricator;3;22.2;342.0;0;2×Теплообменник + 2×Алюминиевый лист + 1×Криогенный хладагент;—;1×Тепловой радиатор;—;tech.life_support;—
91;recipe.ship_module.docking_computer;Стыковочный компьютер;ShipModule;3;station.shipyard_fabricator;3;23.0;360.0;0;1×Блок управления + 1×Сенсорный блок + 1×Сервопривод;—;1×Стыковочный компьютер;—;tech.advanced_automation;high_energy
92;recipe.ship_module.survey_scanner;Обзорный сканер;ShipModule;3;station.shipyard_fabricator;3;23.8;378.0;0;2×Сенсорный блок + 1×Микропроцессор + 1×Сенсорная линза;—;1×Обзорный сканер;—;tech.sensor_systems;high_energy
93;recipe.ship_module.mining_laser_head;Головка горного лазера;ShipModule;3;station.shipyard_fabricator;3;24.6;396.0;0;1×Вольфрамовая руда + 1×Силовая шина + 1×Оптическое стекло;—;1×Головка горного лазера;—;tech.advanced_refining;high_energy
94;recipe.ship_module.cargo_expander;Расширитель грузового отсека;ShipModule;2;station.shipyard_fabricator;3;25.4;414.0;0;2×Силовой узел + 2×Углеродный композит;—;1×Расширитель грузового отсека;—;tech.ship_systems;—
95;recipe.ship_module.hull_reinforcement;Усилитель корпуса;ShipModule;3;station.shipyard_fabricator;3;26.200000000000003;432.0;0;2×Титановая рама + 1×Радиационно-защитная панель + 1×Герметизирующий гель;—;1×Усилитель корпуса;—;tech.ship_systems;high_energy
96;recipe.ship_module.reactor_control_rod;Стержень управления реактором;ShipModule;3;station.shipyard_fabricator;3;27.0;450.0;0;1×Ториевый концентрат + 1×Кобальтовый магнит + 1×Блок управления;—;1×Стержень управления реактором;—;tech.nuclear_materials;high_energy
97;recipe.ship_module.quantum_comm_array;Квантовая антенна связи;ShipModule;4;station.exotic_research_fabricator;4;27.8;468.0;0;1×Сенсорный блок + 2×Фазовое волокно + 1×Компотиевый флюс;—;1×Квантовая антенна связи;—;tech.quantum_navigation;high_energy
98;recipe.ship_module.compotium_drive_core;Компотиевое ядро двигателя;ShipModule;4;station.exotic_research_fabricator;4;28.6;486.0;0;2×Компотиевый энергоэлемент + 1×Ядро гиперперехода + 1×Компотиевый сплав;—;1×Компотиевое ядро двигателя;—;tech.experimental_propulsion;high_energy
99;recipe.equipment.suit_thermal_liner;Термоподкладка костюма;Consumable;1;station.portable_fabricator;1;6.0;70.0;0;1×Полимерная пена + 1×Термогель;—;1×Термоподкладка костюма;—;tech.suit_engineering;—
100;recipe.equipment.suit_radiation_mesh;Радиационная сетка костюма;Consumable;2;station.machine_shop;2;6.6;79.0;0;1×Никелевая сетка + 1×Поглотитель излучения;—;1×Радиационная сетка костюма;—;tech.suit_engineering;—
101;recipe.equipment.suit_toxic_filter;Токсикологический фильтр;Consumable;2;station.portable_fabricator;1;7.2;88.0;0;1×Фильтрационная мембрана + 1×Ингибитор коррозии;—;1×Токсикологический фильтр;—;tech.life_support;—
102;recipe.equipment.oxygen_canister;Кислородный баллон;Consumable;2;station.portable_fabricator;1;7.8;97.0;0;1×Сосуд высокого давления + 2×Кислородное соединение;—;1×Кислородный баллон;—;tech.life_support;—
103;recipe.equipment.repair_foam;Ремонтная пена;Consumable;1;station.portable_fabricator;1;8.4;106.0;0;1×Полимерная пена + 1×Герметизирующий гель;—;1×Ремонтная пена;—;tech.polymer_science;—
104;recipe.equipment.med_gel;Медицинский гель;Consumable;2;station.chemical_processor;1;9.0;115.0;0;1×Микробная культура + 1×Биорастворитель + 1×Очищенная вода;—;1×Медицинский гель;—;tech.life_support;—
105;recipe.equipment.mining_drill_bit;Буровая коронка;Tool;2;station.machine_shop;2;9.6;124.0;0;1×Вольфрамовая руда + 1×Титановая рама;—;1×Буровая коронка;—;tech.advanced_refining;—
106;recipe.equipment.scanner_upgrade;Усилитель сканера;Tool;2;station.electronics_bench;2;10.2;133.0;0;1×Сенсорный блок + 1×Микропроцессор;—;1×Усилитель сканера;—;tech.sensor_systems;—
107;recipe.equipment.multitool_battery;Батарея мультитула;Consumable;2;station.portable_fabricator;1;10.8;142.0;0;1×Аккумуляторный модуль + 1×Силовая шина;—;1×Батарея мультитула;—;tech.power_systems;—
108;recipe.equipment.beacon;Исследовательский маяк;Tool;2;station.electronics_bench;2;11.399999999999999;151.0;0;1×Блок управления + 1×Силовая шина + 1×Сенсорный блок;—;1×Исследовательский маяк;—;tech.sensor_systems;—
109;recipe.equipment.emergency_heater;Аварийный химический обогреватель;Consumable;1;station.portable_fabricator;1;12.0;160.0;0;1×Парафиниевая фракция + 1×Кислородное соединение;—;1×Аварийный химический обогреватель;—;tech.basic_chemistry;—
110;recipe.equipment.chemical_oxygen_generator;Химический генератор кислорода;Consumable;2;station.portable_fabricator;1;12.6;169.0;0;2×Кислородное соединение + 1×Фильтрационная мембрана;—;1×Химический генератор кислорода;—;tech.life_support;—
111;recipe.base.base_power_node;Энергетический узел базы;Base;2;station.machine_shop;2;20.0;220.0;0;2×Силовая шина + 1×Блок управления;—;1×Энергетический узел базы;—;tech.base_construction;—
112;recipe.base.solar_array;Солнечная панель;Base;2;station.machine_shop;2;21.2;240.0;0;4×Кремниевая схема + 2×Алюминиевый лист + 1×Силовая шина;—;1×Солнечная панель;—;tech.power_systems;—
113;recipe.base.battery_bank;Батарейный блок базы;Base;3;station.exotic_research_fabricator;4;22.4;260.0;0;3×Аккумуляторный модуль + 1×Блок управления;—;1×Батарейный блок базы;—;tech.power_systems;—
114;recipe.base.atmospheric_processor;Атмосферный процессор;Base;3;station.exotic_research_fabricator;4;23.6;280.0;0;3×Фильтрационная мембрана + 1×Гидравлический насос + 1×Блок управления;—;1×Атмосферный процессор;—;tech.life_support;—
115;recipe.base.water_recycler;Рециркулятор воды;Base;3;station.exotic_research_fabricator;4;24.8;300.0;0;2×Фильтрационная мембрана + 1×Теплообменник + 1×Блок управления;—;1×Рециркулятор воды;—;tech.life_support;—
116;recipe.base.hydroponics_tray;Гидропонный модуль;Base;2;station.machine_shop;2;26.0;320.0;0;2×Алюминиевый лист + 1×Биоадгезив + 2×Очищенная вода;—;1×Гидропонный модуль;—;tech.base_construction;—
117;recipe.base.storage_module;Модуль хранения;Base;2;station.machine_shop;2;27.2;340.0;0;3×Стальная плита + 2×Силовой узел;—;1×Модуль хранения;—;tech.base_construction;—
118;recipe.base.landing_pad_controller;Контроллер посадочной площадки;Base;3;station.exotic_research_fabricator;4;28.4;360.0;0;2×Блок управления + 2×Сенсорный блок + 1×Силовая шина;—;1×Контроллер посадочной площадки;—;tech.orbital_industry;—
119;recipe.base.fabrication_terminal;Промышленный терминал;Base;3;station.exotic_research_fabricator;4;29.6;380.0;0;2×Блок управления + 2×Сервопривод + 2×Силовая шина;—;1×Промышленный терминал;—;tech.advanced_automation;—
120;recipe.base.research_console;Исследовательская консоль;Base;3;station.exotic_research_fabricator;4;30.799999999999997;400.0;0;2×Микропроцессор + 1×Сенсорный блок + 1×Оптическое стекло;—;1×Исследовательская консоль;—;tech.compotium_analysis;—
121;recipe.advanced.survey_drone;Разведывательный дрон;Drone;2;station.exotic_research_fabricator;4;25.0;320.0;0;1×Блок управления + 2×Сенсорный блок + 1×Аккумуляторный модуль;—;1×Разведывательный дрон;—;tech.drone_engineering;—
122;recipe.advanced.mining_drone;Горный дрон;Drone;3;station.exotic_research_fabricator;4;27.0;355.0;0;1×Блок управления + 1×Буровая коронка + 1×Аккумуляторный модуль;—;1×Горный дрон;—;tech.drone_engineering;—
123;recipe.advanced.repair_drone;Ремонтный дрон;Drone;3;station.exotic_research_fabricator;4;29.0;390.0;0;1×Блок управления + 2×Сервопривод + 2×Ремонтная пена;—;1×Ремонтный дрон;—;tech.advanced_automation;—
